index,company,url,market_category,primary_audience,offer_type,hero_h1_live,main_cta_live,main_cta_href,cta_confidence,proof_signals_detected,page_length_category,screenshot_width,screenshot_height,label_node_id,screenshot_node_id,screenshot_node_name,x_position,live_fetch_status,final_url_checked,analysis_notes,ai_in_prominent_messaging,ai_prominent_evidence,tracking_scripts_detected,tracking_vendors_detected,active_content_motion_detected,content_motion_evidence,free_or_downloadable_resource_detected,downloadable_resource_evidence,privacy_or_terms_detected,privacy_terms_evidence,question_analysis_fetch_status,question_analysis_final_url
1,Function Health,https://www.functionhealth.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Check your health.,Contact us,https://www.functionhealth.com/contact-us,high,quantified outcomes/stats; customer proof,long,600,4509,13:70,1:4,image 1,-272,ok,https://www.functionhealth.com/,,no,,yes,Mixpanel; Intercom,no,,no,,yes,Security -> https://www.functionhealth.com/security | Privacy Policy -> https://www.functionhealth.com/legal/privacy-policy | Terms of Service -> https://www.functionhealth.com/legal/terms-of-service | Privacy Choices -> https://www.functionhealth.com/ | Consumer Health Data Privacy Policy -> https://www.functionhealth.com/legal/consumer-health-data-privacy-policy,ok,https://www.functionhealth.com/
2,Spring Health,https://www.springhealth.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Life gets overwhelming.Support should be simple. | Life gets overwhelming.Support should be simple.,Contact Us,https://www.springhealth.com/contact-us,high,quantified outcomes/stats; customer proof; case studies,long,600,3630,1:18,1:12,image 2,437,ok,https://www.springhealth.com/,,yes,AI,yes,Google Analytics / gtag; Google Tag Manager; Mixpanel,yes,Guide -> https://www.springhealth.com/what-we-do/guide | Our Technology -> https://www.springhealth.com/what-we-do/guide | /blog/guide-ai-experience -> https://www.springhealth.com/blog/guide-ai-experience | /blog/introducing-journeys-personalized-mental-health-support -> https://www.springhealth.com/blog/introducing-journeys-personalized-mental-health-support | See our blog -> https://www.springhealth.com/blog,yes,Guide -> https://www.springhealth.com/what-we-do/guide | Our Technology -> https://www.springhealth.com/what-we-do/guide | /blog/guide-ai-experience -> https://www.springhealth.com/blog/guide-ai-experience | Validation Institute 2025 Study -> https://lp.springhealth.com/hubfs/Spring_Health_Savings_2025_Final.pdf,yes,Trust & Security -> https://www.springhealth.com/trust | Terms of Use -> https://www.springhealth.com/terms-of-service | Privacy policy -> https://www.springhealth.com/privacy-policy | CA Privacy Notice -> https://www.springhealth.com/privacy-policy?resident,ok,https://www.springhealth.com/
3,Violet,https://www.joinviolet.com/,Equity / specialty care enablement,Healthcare organizations / employers,Specialty enablement / training / care access,Powering personalized health care forNeurodivergentBlackLGBTQIA+Asian AmericandisabledLatine/xIndigenousRuralVeterantoday’spatients.,Request a demo,https://www.joinviolet.com/demo,high,quantified outcomes/stats; customer proof; case studies,long,600,4477,11:9,9:3,image 3,1146,ok,https://www.joinviolet.com/,,no,,yes,Google Analytics / gtag; Google Tag Manager; Meta / Facebook Pixel; LinkedIn Insight; HubSpot; Hotjar; VWO,yes,Network Insights -> https://www.joinviolet.com/network-insights | Case studies -> https://www.joinviolet.com/case-studies | Blog -> https://www.joinviolet.com/blog | Get Network Insights -> https://www.joinviolet.com/network-insights | Violet education is now aligned to NCQA HEDIS measures -> https://www.joinviolet.com/resources/where-person-centered-care-and-hedis-performance-meet,no,,yes,Privacy Policy -> https://www.joinviolet.com/privacy-policy | Terms of Service -> https://www.joinviolet.com/terms-of-service,ok,https://www.joinviolet.com/
4,Artera,https://artera.io/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,AI Agents for Healthcare,Contact,https://artera.io/federal-healthcare-communication/#contact-team,high,quantified outcomes/stats,long,600,3255,11:19,11:11,image 4,1855,ok,https://artera.io/,,yes,AI; agentic; Agentic,yes,Google Tag Manager,yes,Resources -> https://artera.io/resources/ | Customer Stories -> https://artera.io/resource-category/case-studies/ | FQHC & CHCs -> https://artera.io/resource-category/case-studies/?jsf=jet-engine:case-studies-grid&tax=resource_org_size:216 | Specialty Care -> https://artera.io/resource-category/case-studies/?jsf=jet-engine:case-studies-grid&tax=resource_org_size:203 | Health Systems -> https://artera.io/resource-category/case-studies/?jsf=jet-engine:case-studies-grid&tax=resource_org_size:200,no,,yes,Security -> https://artera.io/trust-center/ | Trust & Security Details -> https://artera.io/trust-center/ | Trust Center -> https://artera.io/trust-center/ | Privacy Policy -> https://artera.io/privacy-policy/ | Cookie Policy -> https://artera.io/cookie-policy/,ok,https://artera.io/
5,Nova Benefits,https://www.novabenefits.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Discover healthcare that employees love | Trusted by,Contact Us,https://www.novabenefits.com/contact-us,high,SOC 2; quantified outcomes/stats; customer proof,long,600,3246,11:30,11:28,image 6,2562,ok,https://www.novabenefits.com/,,no,,yes,Google Tag Manager; PostHog,yes,BlogsTrending people-first topics -> https://www.novabenefits.com/blog | GuidesResources written by HRs for HRs -> https://www.novabenefits.com/guides | Blogs -> https://blog.getnovaapp.com/ | Guides -> https://www.novabenefits.com/guides,no,,yes,Terms of Use -> https://www.novabenefits.com/terms | Privacy Policy -> https://www.novabenefits.com/privacy | Security -> https://infosec.novabenefits.com/ | Privacy Notice -> https://www.novabenefits.com/privacy,ok,https://www.novabenefits.com/
6,Bamboo Health,https://bamboohealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Make EVERY Pivotal Care Moment Count,Contact Us,https://bamboohealth.com/contact/,high,quantified outcomes/stats; customer proof; case studies,long,600,4069,13:61,13:56,image 8,3269,ok,https://bamboohealth.com/,,no,,yes,Google Tag Manager; Marketo; Microsoft Clarity,yes,"News & Resources -> https://bamboohealth.com/news-resources/ | Patient Treatment Resources Treatment Connection™ connects the public to mental  -> https://www.treatmentconnection.com/ | Justice-Involved Alerts Justice Involved ensures care continuity with real-time  -> https://bamboohealth.com/solutions/justice-involved/ | Real-time Notifications Pings™ notifies care teams and health plans in real time -> https://bamboohealth.com/solutions/pings/ | Performance Metrics Spotlights™ surfaces key patient insights with real-time, ea -> https://bamboohealth.com/solutions/spotlights/",yes,Learn More -> https://bamboohealth.com/impact-report-2025/ | Learn More -> https://bamboohealth.com/wp-content/uploads/2022/10/Case-Study-Marcroms-Pharmacy.pdf | Seamlessly Connecting Every Pivotal Care Moment -> https://bamboohealth.com/wp-content/uploads/2025/07/BambooHealth_Overview_OnePager_vFINAL.pdf | Physical and Behavioral Health Solutions for Every Healthcare Environment -> https://bamboohealth.com/wp-content/uploads/2025/02/SignatureContent_Combined_FINAL.pdf | Impact -> https://bamboohealth.com/impact-report-2025/,yes,Privacy Policy -> https://bamboohealth.com/privacy-policy/ | Pharmacies Enhancing pharmacy compliance and efficiency with seamless PDMP integ -> https://bamboohealth.com/audience/pharmacies/ | Terms & Conditions of Use -> https://bamboohealth.com/terms-and-conditions-of-use/,ok,https://bamboohealth.com/
7,Actium Health,https://www.actiumhealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,The AI Workforce for Healthcare,Healthcare Contact Centers,https://www.actiumhealth.com/organizations/healthcare-contact-centers/,high,HIPAA; SOC 2; quantified outcomes/stats; customer proof; case studies,medium,600,1831,13:62,11:36,image 7,3976,ok,https://www.actiumhealth.com/,,yes,AI,yes,Google Tag Manager; HubSpot,yes,ActiumHealth Insights -> https://www.actiumhealth.com/agent-insights/ | Case studies -> https://www.actiumhealth.com/case-studies/ | Blog -> https://www.actiumhealth.com/blog/ | Reports & White papers -> https://www.actiumhealth.com/reports/ | View security standards -> https://www.actiumhealth.com/agent-insights/,no,,yes,View security standards -> https://www.actiumhealth.com/agent-insights/ | Privacy policy -> https://www.actiumhealth.com/privacy-policy/ | Cookie policy -> https://www.actiumhealth.com/cookie-policy/,ok,https://www.actiumhealth.com/
8,Preto Health,https://paretohealth.com/,Equity / specialty care enablement,Healthcare organizations / employers,Specialty enablement / training / care access,Join the right side of the fight,Contact,https://paretohealth.com/contact/,high,quantified outcomes/stats; case studies,medium,600,2475,13:69,13:67,image 9,4683,ok,https://www.paretohealth.com/,,no,,yes,Google Analytics / gtag; Google Tag Manager; Pardot / Salesforce,yes,Find an event -> https://paretohealth.com/events/ | Case Studies -> https://www.paretohealth.com/case-studies/ | Events -> https://paretohealth.com/events/ | In the News -> https://paretohealth.com/in-the-news/ | Events -> https://www.paretohealth.com/events/,no,,yes,Privacy Policy -> https://paretohealth.com/privacy-policy/,ok,https://www.paretohealth.com/
9,Morlais Health,https://www.morlaishealth.co.uk/,Equity / specialty care enablement,Healthcare organizations / employers,Specialty enablement / training / care access,,Contact,https://morlaishealth.co.uk/contact,high,,medium,600,2758,13:79,13:77,image 10,5390,ok,https://morlaishealth.co.uk/,,no,,no,,no,,no,,yes,Terms of Use -> https://morlaishealth.co.uk/terms-of-use | Website Privacy -> https://morlaishealth.co.uk/website-privacy,ok,https://morlaishealth.co.uk/
10,Calmind,https://calmind.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Reset YourNervousSystem,Contact us,https://calmind.com/contact/,high,quantified outcomes/stats; customer proof,long,600,3404,15:100,13:81,image 11,6097,ok,https://calmind.com/,,no,,yes,Google Tag Manager; Microsoft Clarity,yes,Learn -> https://calmind.com/blog/ | Blog -> https://calmind.com/blog/,yes,Get Calmind -> https://calmind.com/download-app/ | https://calmind.com/download-app/ -> https://calmind.com/download-app/ | *From $9.99/mo -> https://calmind.com/download-app/ | Get Started -> https://calmind.com/download-app/ | Get started for Free -> https://calmind.com/download-app/,yes,Terms of Use -> https://calmind.com/terms-and-conditions/ | Privacy Policy -> https://calmind.com/privacy-policy/,ok,https://calmind.com/
