index,company,url,market_category,primary_audience,offer_type,hero_h1_live,main_cta_live,main_cta_href,cta_confidence,proof_signals_detected,page_length_category,screenshot_width,screenshot_height,label_node_id,screenshot_node_id,screenshot_node_name,x_position,live_fetch_status,final_url_checked,analysis_notes
1,Function Health,https://www.functionhealth.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Check your health.,Contact us,https://www.functionhealth.com/contact-us,high,quantified outcomes/stats; customer proof,long,600,4509,13:70,1:4,image 1,-272,ok,https://www.functionhealth.com/,
2,Spring Health,https://www.springhealth.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Life gets overwhelming.Support should be simple. | Life gets overwhelming.Support should be simple.,Contact Us,https://www.springhealth.com/contact-us,high,quantified outcomes/stats; customer proof; case studies,long,600,3630,1:18,1:12,image 2,437,ok,https://www.springhealth.com/,
3,Violet,https://www.joinviolet.com/,Equity / specialty care enablement,Healthcare organizations / employers,Specialty enablement / training / care access,Powering personalized health care forNeurodivergentBlackLGBTQIA+Asian AmericandisabledLatine/xIndigenousRuralVeterantoday’spatients.,Request a demo,https://www.joinviolet.com/demo,high,quantified outcomes/stats; customer proof; case studies,long,600,4477,11:9,9:3,image 3,1146,ok,https://www.joinviolet.com/,
4,Artera,https://artera.io/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,AI Agents for Healthcare,Contact,https://artera.io/federal-healthcare-communication/#contact-team,high,quantified outcomes/stats,long,600,3255,11:19,11:11,image 4,1855,ok,https://artera.io/,
5,Nova Benefits,https://www.novabenefits.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Discover healthcare that employees love | Trusted by,Contact Us,https://www.novabenefits.com/contact-us,high,SOC 2; quantified outcomes/stats; customer proof,long,600,3246,11:30,11:28,image 6,2562,ok,https://www.novabenefits.com/,
6,Bamboo Health,https://bamboohealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Make EVERY Pivotal Care Moment Count,Contact Us,https://bamboohealth.com/contact/,high,quantified outcomes/stats; customer proof; case studies,long,600,4069,13:61,13:56,image 8,3269,ok,https://bamboohealth.com/,
7,Actium Health,https://www.actiumhealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,The AI Workforce for Healthcare,Healthcare Contact Centers,https://www.actiumhealth.com/organizations/healthcare-contact-centers/,high,HIPAA; SOC 2; quantified outcomes/stats; customer proof; case studies,medium,600,1831,13:62,11:36,image 7,3976,ok,https://www.actiumhealth.com/,
8,Preto Health,https://paretohealth.com/,Equity / specialty care enablement,Healthcare organizations / employers,Specialty enablement / training / care access,Join the right side of the fight,Contact,https://paretohealth.com/contact/,high,quantified outcomes/stats; case studies,medium,600,2475,13:69,13:67,image 9,4683,ok,https://www.paretohealth.com/,
9,Morlais Health,https://www.morlaishealth.co.uk/,Equity / specialty care enablement,Healthcare organizations / employers,Specialty enablement / training / care access,,Contact,https://morlaishealth.co.uk/contact,high,,medium,600,2758,13:79,13:77,image 10,5390,ok,https://morlaishealth.co.uk/,
10,Calmind,https://calmind.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Reset YourNervousSystem,Contact us,https://calmind.com/contact/,high,quantified outcomes/stats; customer proof,long,600,3404,15:100,13:81,image 11,6097,ok,https://calmind.com/,
