index,company,url,market_category,primary_audience,offer_type,hero_h1_live,main_cta_live,main_cta_href,cta_confidence,proof_signals_detected,page_length_category,screenshot_width,screenshot_height,label_node_id,screenshot_node_id,screenshot_node_name,x_position,live_fetch_status,final_url_checked,analysis_notes,ai_in_prominent_messaging,ai_prominent_evidence,tracking_scripts_detected,tracking_vendors_detected,active_content_motion_detected,content_motion_evidence,free_or_downloadable_resource_detected,downloadable_resource_evidence,privacy_or_terms_detected,privacy_terms_evidence,question_analysis_fetch_status,question_analysis_final_url,customer_logos_detected,customer_logo_evidence,security_or_compliance_mentions_detected,security_compliance_evidence,segmented_navigation_detected,segmented_navigation_type,segmentation_evidence,case_studies_detected,case_study_evidence,quantified_case_study_signal_detected,quantified_case_study_evidence,deep_signal_fetch_status,deep_signal_final_url
1,Function Health,https://www.functionhealth.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Check your health.,Contact us,https://www.functionhealth.com/contact-us,high,quantified outcomes/stats; customer proof,long,600,4509,13:70,1:4,image 1,-272,ok,https://www.functionhealth.com/,,no,,yes,Mixpanel; Intercom,no,,no,,yes,Security -> https://www.functionhealth.com/security | Privacy Policy -> https://www.functionhealth.com/legal/privacy-policy | Terms of Service -> https://www.functionhealth.com/legal/terms-of-service | Privacy Choices -> https://www.functionhealth.com/ | Consumer Health Data Privacy Policy -> https://www.functionhealth.com/legal/consumer-health-data-privacy-policy,ok,https://www.functionhealth.com/,yes,"Mark Hyman, M.D.",yes,Security -> https://www.functionhealth.com/security | Privacy Policy -> https://www.functionhealth.com/legal/privacy-policy | Privacy Choices -> https://www.functionhealth.com/ | Consumer Health Data Privacy Policy -> https://www.functionhealth.com/legal/consumer-health-data-privacy-policy,yes,audience,"Audience: Employers, For employers; Use-case/solution: ",yes,"ble, too. Check your health. Testing is easy 160+ lab tests Results explained Follow your plan Monitor early indicators of 1000s of diseases 100+ l | t & metabolic Aging Mental health & focus Real people. Real results. Gold standard for lab testing Built with the world's top doctors What could co | dical community. Established partners. Consistent, reliable results. 2,000+ lab test locations across the US 2,000 2k Over 75+ million results deli | lab test locations across the US 2,000 2k Over 75+ million results delivered to Function members 75M+ Not your average checkup Personalized action | t your average checkup Personalized action plan Upload past results No insurance needed",yes,"diseases 100+ lab tests chosen by top doctors Hormones & thyroid Cancer & other silent risks Heart & metabolic Aging Mental health & focus Real | ting Built with the world's top doctors What could cost you $15,000 is $499 Function membership $42 Life is short? Subscribe and get 9 health | with the world's top doctors What could cost you $15,000 is $499 Function membership $42 Life is short? Subscribe and get 9 health guides for | ors What could cost you $15,000 is $499 Function membership $42 Life is short? Subscribe and get 9 health guides for living 100 healthy years | arting with 160+ lab tests detecting 1000+ conditions. Just $365 per year— $1 per day. 160+ lab tests Total each year Whole body Tested 2x per | + lab tests detecting 1000+ conditions. Just $365 per year— $1 per day. 160+ lab tests Total each year Whole body Tested 2x per year $1 per da",ok,https://www.functionhealth.com/
2,Spring Health,https://www.springhealth.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Life gets overwhelming.Support should be simple. | Life gets overwhelming.Support should be simple.,Contact Us,https://www.springhealth.com/contact-us,high,quantified outcomes/stats; customer proof; case studies,long,600,3630,1:18,1:12,image 2,437,ok,https://www.springhealth.com/,,yes,AI,yes,Google Analytics / gtag; Google Tag Manager; Mixpanel,yes,Guide -> https://www.springhealth.com/what-we-do/guide | Our Technology -> https://www.springhealth.com/what-we-do/guide | /blog/guide-ai-experience -> https://www.springhealth.com/blog/guide-ai-experience | /blog/introducing-journeys-personalized-mental-health-support -> https://www.springhealth.com/blog/introducing-journeys-personalized-mental-health-support | See our blog -> https://www.springhealth.com/blog,yes,Guide -> https://www.springhealth.com/what-we-do/guide | Our Technology -> https://www.springhealth.com/what-we-do/guide | /blog/guide-ai-experience -> https://www.springhealth.com/blog/guide-ai-experience | Validation Institute 2025 Study -> https://lp.springhealth.com/hubfs/Spring_Health_Savings_2025_Final.pdf,yes,Trust & Security -> https://www.springhealth.com/trust | Terms of Use -> https://www.springhealth.com/terms-of-service | Privacy policy -> https://www.springhealth.com/privacy-policy | CA Privacy Notice -> https://www.springhealth.com/privacy-policy?resident,ok,https://www.springhealth.com/,yes,A Therapist’s Guide for Surviving Holiday Stress | Highmark | Target | The Coca-Cola Company | BlackRock | Microsoft | Pfizer | Wawa | Kayak | JB Hunt,yes,"Trust & Security -> https://www.springhealth.com/trust | Privacy policy -> https://www.springhealth.com/privacy-policy | CA Privacy Notice -> https://www.springhealth.com/privacy-policy?resident | any ©2026 Spring Care, Inc. All rights reserved. Report non-compliance by accessing the Integrity Hotline",yes,audience + use case/solution,"Audience: For providers, Providers, Employers, Members, Health plans, Consultants, Plans, For employers; Use-case/solution: Solutions",yes,View all client stories -> https://www.springhealth.com/customers | Case Studies -> https://www.springhealth.com/case-studies | View case study -> https://www.springhealth.com/customers/hearst | View case study -> https://www.springhealth.com/customers/general-mills | View case study -> https://www.springhealth.com/customers/moda-health,yes,gets overwhelming.Support should be simple. Supporting over 20 million covered lives globally The new standard for modern mental health care Rig | place Spring Care Spring Care Proven clinical impact <1 day 95% 92% One platform. Every care touchpoint. All connected. Members Providers HR le | e Spring Care Spring Care Proven clinical impact <1 day 95% 92% One platform. Every care touchpoint. All connected. Members Providers HR leader | ancial impact Leading organizations invest in mental health 15x 15x Resources to build resilient teams Spring Health Delivers Long-Term Cost Sa | al impact Leading organizations invest in mental health 15x 15x Resources to build resilient teams Spring Health Delivers Long-Term Cost Saving | ference in people’s lives all while delivering net positive ROI Who we serve Solutions What we do Our Impact Discover potential ROI Discover va,ok,https://www.springhealth.com/
3,Violet,https://www.joinviolet.com/,Equity / specialty care enablement,Healthcare organizations / employers,Specialty enablement / training / care access,Powering personalized health care forNeurodivergentBlackLGBTQIA+Asian AmericandisabledLatine/xIndigenousRuralVeterantoday’spatients.,Request a demo,https://www.joinviolet.com/demo,high,quantified outcomes/stats; customer proof; case studies,long,600,4477,11:9,9:3,image 3,1146,ok,https://www.joinviolet.com/,,no,,yes,Google Analytics / gtag; Google Tag Manager; Meta / Facebook Pixel; LinkedIn Insight; HubSpot; Hotjar; VWO,yes,Network Insights -> https://www.joinviolet.com/network-insights | Case studies -> https://www.joinviolet.com/case-studies | Blog -> https://www.joinviolet.com/blog | Get Network Insights -> https://www.joinviolet.com/network-insights | Violet education is now aligned to NCQA HEDIS measures -> https://www.joinviolet.com/resources/where-person-centered-care-and-hedis-performance-meet,no,,yes,Privacy Policy -> https://www.joinviolet.com/privacy-policy | Terms of Service -> https://www.joinviolet.com/terms-of-service,ok,https://www.joinviolet.com/,yes,"Violet company logo text in white on transparent background. | Table showing education engagement of Serenity Health Group with two courses assigned: Dr. Fabian Jones has 70% completion for Chronic Conditions in Rural Communities, and Dr. Jillian Smith has 60% completion for Managing Diabetes Chronicity & Comorbidities; both published by Violet with overall 65% complete. | Purple symmetrical flower-like shape with four rounded petals on a white background. | Four dark green circles arranged symmetrically in a cross shape forming a central diamond-shaped negative space. | Blue grid pattern forming a triangular shape on a black background. | Purple symmetrical four-lobed abstract shape with thin curved outlines on a transparent background. | Stylized purple flower with dark green petals, light blue center, and two green and purple leaves on a thin stem. | NHP | Health Plan Nevada | Novawell",yes,Privacy Policy -> https://www.joinviolet.com/privacy-policy,yes,audience,"Audience: Providers, Members, Health plans, Plans; Use-case/solution: ",yes,Case studies -> https://www.joinviolet.com/case-studies,yes,"ch patient, with one consistent, experience-based standard. 12% Increase in first sessions attended 13% Improvement in overall appointment adhe | atient, with one consistent, experience-based standard. 12% Increase in first sessions attended 13% Improvement in overall appointment adherence 1.8 | nce-based standard. 12% Increase in first sessions attended 13% Improvement in overall appointment adherence 1.8x More likely to retain patient | attended 13% Improvement in overall appointment adherence 1.8x More likely to retain patients through one month of care Point increase in ther | e likely to retain patients through one month of care Point increase in therapeutic alliance scores ~2 Point greater improvement in depression sympt | od health. 5+ Additional attended appointments per provider 20% Higher depression screening rates per clinician 16% Improvement in hypertension",ok,https://www.joinviolet.com/
4,Artera,https://artera.io/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,AI Agents for Healthcare,Contact,https://artera.io/federal-healthcare-communication/#contact-team,high,quantified outcomes/stats,long,600,3255,11:19,11:11,image 4,1855,ok,https://artera.io/,,yes,AI; agentic; Agentic,yes,Google Tag Manager,yes,Resources -> https://artera.io/resources/ | Customer Stories -> https://artera.io/resource-category/case-studies/ | FQHC & CHCs -> https://artera.io/resource-category/case-studies/?jsf=jet-engine:case-studies-grid&tax=resource_org_size:216 | Specialty Care -> https://artera.io/resource-category/case-studies/?jsf=jet-engine:case-studies-grid&tax=resource_org_size:203 | Health Systems -> https://artera.io/resource-category/case-studies/?jsf=jet-engine:case-studies-grid&tax=resource_org_size:200,no,,yes,Security -> https://artera.io/trust-center/ | Trust & Security Details -> https://artera.io/trust-center/ | Trust Center -> https://artera.io/trust-center/ | Privacy Policy -> https://artera.io/privacy-policy/ | Cookie Policy -> https://artera.io/cookie-policy/,ok,https://artera.io/,yes,jefferson | us digestive health | scl health | childrens wisconsin | hackensack | yakima | childrens hospital of chicago | eisenhoewer | UNC health | esperanza,yes,"Security -> https://artera.io/trust-center/ | Trust & Security Details -> https://artera.io/trust-center/ | Trust Center -> https://artera.io/trust-center/ | Privacy Policy -> https://artera.io/privacy-policy/ | Partnership, Not Software What Makes Us Different Built On Security Trust Isn't Claimed. It's Earned Ready to Get Started? Experience by Your Side | om generic workflows Governance shaped by the most rigorous security demands Trusted by federal agencies, large health systems, and FQHCs alike Comm | llions of seamless patient interactions across the country. Security isn’t an afterthought, for over a decade it’s been our starting point. Our best | s for keeping AI safe, compliant, and built for healthcare. SOC 2 Type 2 HITRUST Certified HIPAA Compliant FedRAMP Class D Certification (FedRAMP",yes,audience + use case/solution,"Audience: Providers, Patients, Health systems; Use-case/solution: Solutions, Platform, Services",yes,"Customer Stories -> https://artera.io/resource-category/case-studies/ | Read More Customer Stories -> https://artera.io/resource-category/case-studies/ | Case Studies -> https://artera.io/resource-category/case-studies/ | viders Patients Love the Experience. Organizations Love the Results 65% Why Experience Matters 11+ Years in Healthcare - Put That Expertise to Work | Support and Training Specialist Tryon Management Group Our results are proven by the numbers. Prescription Refill Management CUSTOMER Multi-locati | experience and the latest in agentic AI can build for you. Results may vary. Individual results not guaranteed. Artera’s AI Agents automate admini | agentic AI can build for you. Results may vary. Individual results not guaranteed. Artera’s AI Agents automate administrative workflows and do not | May 13, 2026. Average Customer Rating (4.7/5): Based on G2. Results may vary. Individual results not guaranteed. Artera is the leading agentic heal",yes,"rking in Perfect Harmony Experience By Your Side 11+ 1,000+ 2B+ #1 The New Model for Healthcare AI Why Choose Artera Stop settling for legacy | atients Love the Experience. Organizations Love the Results 65% Why Experience Matters 11+ Years in Healthcare - Put That Expertise to Work Hea | ommunications 2026 Customer Rating AI Agent Task Completion 20B+ patient interactions drive our people and our product Optimized solutions base | USTOMER Regional orthopedic practice with 10+ locations and 520K+ annual patient visits. AI SOLUTION AI-powered scheduling agent handling appoin | egrated with existing phone systems. IMPACT Within 60 days: 43K patient conversations automated 1,250+ staff hours reclaimed $88K in new patien | atient conversations automated 1,250+ staff hours reclaimed $88K in new patient revenue generated 67% reduction in call abandonment rates 24/7",ok,https://artera.io/
5,Nova Benefits,https://www.novabenefits.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Discover healthcare that employees love | Trusted by,Contact Us,https://www.novabenefits.com/contact-us,high,SOC 2; quantified outcomes/stats; customer proof,long,600,3246,11:30,11:28,image 6,2562,ok,https://www.novabenefits.com/,,no,,yes,Google Tag Manager; PostHog,yes,BlogsTrending people-first topics -> https://www.novabenefits.com/blog | GuidesResources written by HRs for HRs -> https://www.novabenefits.com/guides | Blogs -> https://blog.getnovaapp.com/ | Guides -> https://www.novabenefits.com/guides,no,,yes,Terms of Use -> https://www.novabenefits.com/terms | Privacy Policy -> https://www.novabenefits.com/privacy | Security -> https://infosec.novabenefits.com/ | Privacy Notice -> https://www.novabenefits.com/privacy,ok,https://www.novabenefits.com/,no,,yes,Privacy Policy -> https://www.novabenefits.com/privacy | Security -> https://infosec.novabenefits.com/ | Privacy Notice -> https://www.novabenefits.com/privacy,yes,use case/solution,"Audience: ; Use-case/solution: Platform, Services, Teams",yes,View All Testimonials -> -> https://www.novabenefits.com/testimonial-wall | Testimonials -> https://www.novabenefits.com/testimonial-wall,yes,"m with the best benefits available to achieve high employee NPS and low employee attrition Healthier employees showcase increased productivity. | NPS and low employee attrition Healthier employees showcase increased productivity. With our benefits ensure that your team is functioning at optimu | Chanda NEW Operations Manager at Teaxpress Private Limited 8 months ago ""Got my settlement in less than 2 weeks as committed. Team is very pro | it Desai NEW Senior Director Enterprise Busines at Cleartax 1 month ago ""I have been really impressed by Nova benefits service. I am a corporat | Srilatha Somepalli NEW Senior Consultant at IT Convergence 2 months ago ""Recently I claimed my medical insurance for my father from Nova Benef | ess."" Farhana Nazir NEW Senior Software Engineer at Xorient 12 months ago ""It's really great CRM software and really useful while getting in tou",ok,https://www.novabenefits.com/
6,Bamboo Health,https://bamboohealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Make EVERY Pivotal Care Moment Count,Contact Us,https://bamboohealth.com/contact/,high,quantified outcomes/stats; customer proof; case studies,long,600,4069,13:61,13:56,image 8,3269,ok,https://bamboohealth.com/,,no,,yes,Google Tag Manager; Marketo; Microsoft Clarity,yes,"News & Resources -> https://bamboohealth.com/news-resources/ | Patient Treatment Resources Treatment Connection™ connects the public to mental  -> https://www.treatmentconnection.com/ | Justice-Involved Alerts Justice Involved ensures care continuity with real-time  -> https://bamboohealth.com/solutions/justice-involved/ | Real-time Notifications Pings™ notifies care teams and health plans in real time -> https://bamboohealth.com/solutions/pings/ | Performance Metrics Spotlights™ surfaces key patient insights with real-time, ea -> https://bamboohealth.com/solutions/spotlights/",yes,Learn More -> https://bamboohealth.com/impact-report-2025/ | Learn More -> https://bamboohealth.com/wp-content/uploads/2022/10/Case-Study-Marcroms-Pharmacy.pdf | Seamlessly Connecting Every Pivotal Care Moment -> https://bamboohealth.com/wp-content/uploads/2025/07/BambooHealth_Overview_OnePager_vFINAL.pdf | Physical and Behavioral Health Solutions for Every Healthcare Environment -> https://bamboohealth.com/wp-content/uploads/2025/02/SignatureContent_Combined_FINAL.pdf | Impact -> https://bamboohealth.com/impact-report-2025/,yes,Privacy Policy -> https://bamboohealth.com/privacy-policy/ | Pharmacies Enhancing pharmacy compliance and efficiency with seamless PDMP integ -> https://bamboohealth.com/audience/pharmacies/ | Terms & Conditions of Use -> https://bamboohealth.com/terms-and-conditions-of-use/,ok,https://bamboohealth.com/,yes,Bamboo Health Logo | UconnHealth | United Healthcare | Rush Logo | Oak St. Health Logo,yes,"Privacy Policy -> https://bamboohealth.com/privacy-policy/ | Pharmacies Enhancing pharmacy compliance and efficiency with seamless PDMP integration. -> https://bamboohealth.com/audience/pharmacies/ | s make more informed prescribing decisions, meet regulatory compliance and improve patient safety and outcomes. Empowering life-improving actions star",yes,audience + use case/solution,"Audience: Providers, Patients, Health systems, Health plans, Plans; Use-case/solution: Solutions, Conditions, Services, Teams",yes,Success Stories -> https://bamboohealth.com/case-studies/ | Read Case Study -> https://bamboohealth.com/case-study/privia-bamboo-bridge/ | Read Case Study -> https://bamboohealth.com/case-study/your-health/ | Read Case Study -> https://bamboohealth.com/case-study/houston-methodist/ | Read Case Study -> https://bamboohealth.com/case-study/how-openbeds-helps-states-with-behavioral-health-access-and-ed-overutilization/ | Read Case Study -> https://bamboohealth.com/case-study/uchicago-medicine-rising-risk/ | Nation Trusted by leading organizations across the industry Success Stories An Expansive Nationwide Footprint Revolutionizing Care Collaboration Hospitals | e heart of our vision and the reason we help drive powerful results across the communities we serve. Decide on the right care options and act with,yes,", care providers and government entities like never before. 1 Billion Patient Encounters per Year 2,500 Hospitals 50 State Governments “Without | , we reduced 80-day referral delays to just weeks—and saw a 5x increase in patients keeping their first appointment.” “Bamboo Health allowed u | e reduced 80-day referral delays to just weeks—and saw a 5x increase in patients keeping their first appointment.” “Bamboo Health allowed us to find | y, reduce costs, and create better health outcomes for all. 1B patient encounters annually 100% of major retail pharmacy chains 52 states and | ter health outcomes for all. 1B patient encounters annually 100% of major retail pharmacy chains 52 states and territories 100% of the top 10 be | % of major retail pharmacy chains 52 states and territories 100% of the top 10 best hospitals 50%+ of the country’s largest health plans Connect",ok,https://bamboohealth.com/
7,Actium Health,https://www.actiumhealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,The AI Workforce for Healthcare,Healthcare Contact Centers,https://www.actiumhealth.com/organizations/healthcare-contact-centers/,high,HIPAA; SOC 2; quantified outcomes/stats; customer proof; case studies,medium,600,1831,13:62,11:36,image 7,3976,ok,https://www.actiumhealth.com/,,yes,AI,yes,Google Tag Manager; HubSpot,yes,ActiumHealth Insights -> https://www.actiumhealth.com/agent-insights/ | Case studies -> https://www.actiumhealth.com/case-studies/ | Blog -> https://www.actiumhealth.com/blog/ | Reports & White papers -> https://www.actiumhealth.com/reports/ | View security standards -> https://www.actiumhealth.com/agent-insights/,no,,yes,View security standards -> https://www.actiumhealth.com/agent-insights/ | Privacy policy -> https://www.actiumhealth.com/privacy-policy/ | Cookie policy -> https://www.actiumhealth.com/cookie-policy/,ok,https://www.actiumhealth.com/,yes,ActiumHealth | Catholic Health | Nuvance Health | MemorialCare | Nebraska Medicine | MultiCare | Legacy Health | Griffin Health | DispatchHealth | CareBridge,yes,"View security standards -> https://www.actiumhealth.com/agent-insights/ | Privacy policy -> https://www.actiumhealth.com/privacy-policy/ | teams to focus on your patients. Trust a platform built to SOC2, HITRUST, and HIPAA standards, with zero data hallucinations. Our agents integr | to focus on your patients. Trust a platform built to SOC2, HITRUST, and HIPAA standards, with zero data hallucinations. Our agents integrate direc | your patients. Trust a platform built to SOC2, HITRUST, and HIPAA standards, with zero data hallucinations. Our agents integrate directly with yo",yes,audience + use case/solution,"Audience: Patients; Use-case/solution: Solutions, Platform, Products, Teams",yes,"Case studies -> https://www.actiumhealth.com/case-studies/ | Health System Deflects 68% of Rx Calls with AI 95% success rate for automated prescription renewals without requiring MRN or password verification View case study -> https://www.ac | 6 Hospitals Achieve 65% Call Volume Reduction Academic medical center automates 2.7M calls annually, gaining 60 FTE capacity with 90% success rate View case study -> https://www.ac | Health System Saves 268 FTEs with AI Automation 250+ locations unified with conversational AI, saving 268 FTE staff time and boosting capacity 20% View case study -> https://www.ac | Virtua Health Generates $25M+ with AI Outreach Predictive models target high-risk patients across 11 service lines, driving 25K appointments & 21x ROI View case study -> https://ww | roven Impact on Patient Access Real-World Conversational AI Results Let’s talk about how ActiumHealth can support your care teams Insights You Can | chael Nebraska Medicine ∙ Director of Patient Services “The results we got actually exceeded our expectations. We saw a 40% reduction in calls that | Staffing capacity created (Houston Methodist). Quantifiable results from the nation's leading health systems. Interested in learning how ActiumHeal",yes,"tomating patient communication across voice, SMS, and chat. 70M+ calls handled, 70% resolved. Conversational AI for Patient Communication | Act | munication across voice, SMS, and chat. 70M+ calls handled, 70% resolved. Conversational AI for Patient Communication | ActiumHealth ActiumHeal | tomating patient communication across voice, SMS, and chat. 70M+ calls handled, 70% resolved. The AI Workforce for Healthcare Trusted by Your 2 | munication across voice, SMS, and chat. 70M+ calls handled, 70% resolved. The AI Workforce for Healthcare Trusted by Your 24/7/365 AI Reception | Healthcare Call Centers 6 Lessons Learned After Automating 50 Million Healthcare Calls The Unfiltered Truth About AI in Healthcare Products Dis | erience and, importantly, in the language of their choice.” 100% Inbound Calls Answered by AI Agent Languages Supported Ryan Younger Virtua Heal",ok,https://www.actiumhealth.com/
8,Preto Health,https://paretohealth.com/,Equity / specialty care enablement,Healthcare organizations / employers,Specialty enablement / training / care access,Join the right side of the fight,Contact,https://paretohealth.com/contact/,high,quantified outcomes/stats; case studies,medium,600,2475,13:69,13:67,image 9,4683,ok,https://www.paretohealth.com/,,no,,yes,Google Analytics / gtag; Google Tag Manager; Pardot / Salesforce,yes,Find an event -> https://paretohealth.com/events/ | Case Studies -> https://www.paretohealth.com/case-studies/ | Events -> https://paretohealth.com/events/ | In the News -> https://paretohealth.com/in-the-news/ | Events -> https://www.paretohealth.com/events/,no,,yes,Privacy Policy -> https://paretohealth.com/privacy-policy/,ok,https://www.paretohealth.com/,yes,"A professional warmly greeting a colleague in a bright, collaborative workspace",yes,Privacy Policy -> https://paretohealth.com/privacy-policy/,yes,audience + use case/solution,"Audience: Employers, Members, Consultants, Plans, For employers; Use-case/solution: Services",yes,Read case study -> https://www.paretohealth.com/case-studies/fellowship-non-profit-improves-financial-stewardship/ | Case Studies -> https://www.paretohealth.com/case-studies/,yes,"ParetoHealth How a midsize employer joined ParetoHealth and saved $1.5 million. Resources Company Solution - ParetoOne Resources Company Phone: P | Health How a midsize employer joined ParetoHealth and saved $1.5 million. Resources Company Solution - ParetoOne Resources Company Phone: Pare | lth How a midsize employer joined ParetoHealth and saved $1.5 million. Resources Company Solution - ParetoOne Resources Company Phone: ParetoHe | oHealth on the right side of the fight, representing over 1.3 million covered lives and $8.4 billion in healthcare spend under management. We’r | the fight, representing over 1.3 million covered lives and $8.4 billion in healthcare spend under management. We’re the largest and fastest g | e fight, representing over 1.3 million covered lives and $8.4 billion in healthcare spend under management. We’re the largest and fastest growi",ok,https://www.paretohealth.com/
9,Morlais Health,https://www.morlaishealth.co.uk/,Equity / specialty care enablement,Healthcare organizations / employers,Specialty enablement / training / care access,,Contact,https://morlaishealth.co.uk/contact,high,,medium,600,2758,13:79,13:77,image 10,5390,ok,https://morlaishealth.co.uk/,,no,,no,,no,,no,,yes,Terms of Use -> https://morlaishealth.co.uk/terms-of-use | Website Privacy -> https://morlaishealth.co.uk/website-privacy,ok,https://morlaishealth.co.uk/,yes,Morlais Health Centres logo,yes,Website Privacy -> https://morlaishealth.co.uk/website-privacy,no,none,Audience: ; Use-case/solution: ,no,,no,,ok,https://morlaishealth.co.uk/
10,Calmind,https://calmind.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Reset YourNervousSystem,Contact us,https://calmind.com/contact/,high,quantified outcomes/stats; customer proof,long,600,3404,15:100,13:81,image 11,6097,ok,https://calmind.com/,,no,,yes,Google Tag Manager; Microsoft Clarity,yes,Learn -> https://calmind.com/blog/ | Blog -> https://calmind.com/blog/,yes,Get Calmind -> https://calmind.com/download-app/ | https://calmind.com/download-app/ -> https://calmind.com/download-app/ | *From $9.99/mo -> https://calmind.com/download-app/ | Get Started -> https://calmind.com/download-app/ | Get started for Free -> https://calmind.com/download-app/,yes,Terms of Use -> https://calmind.com/terms-and-conditions/ | Privacy Policy -> https://calmind.com/privacy-policy/,ok,https://calmind.com/,yes,"Dancing in the Storm: Finding Peace in a World of Chaos | Calmind - What are the most effective frequencies of flicker light stimulation for mood improvement | Calmind - I Found Peace, But the Path I Chose May Be Hard for You to Accept | Calmind The Art of Self-Compassion: How to Stop Judging Yourself",yes,Privacy Policy -> https://calmind.com/privacy-policy/,yes,use case/solution,Audience: ; Use-case/solution: Products,no,,no,,ok,https://calmind.com/
